v1,v2,n_tokens,jsd,pillai,bhatt_dist,overlap_kde,bhatt_affinity,n_balanced_per_vowel,overlap_knn_density_k10,overlap_knn_density_k25,overlap_knn_density_k50,overlap_mvn_mc,overlap_pca2_grid,overlap_pca2_hull
ə,o,1000,0.841066143478618,0.323747332579515,0.514904459805896,0.0866818565203996,0.597557682668083,500,0.40239110298199204,0.477703246879426,0.5025599080858694,0.3176768928959748,0.33,0.861181542929592
ə,ow,1000,0.897176125043745,0.438523426511264,0.577546621134256,0.0334689359114241,0.561273695796883,500,0.21826225491699336,0.3461711907960316,0.4185968819890852,0.29272068020184194,0.29000000000000004,0.8273632047468441
ə,ɔ,1000,0.85613071437748,0.282575271456196,0.353647040050504,0.0517956609393197,0.702122744833615,500,0.39983168996017077,0.46669873202274126,0.48654328150328285,0.4156306340848825,0.37400000000000005,0.8757086515126793
ə,u,783,0.848383063555392,0.227430292673515,0.565525448219865,0.0591516545376145,0.568061581377378,283,0.3519958115981001,0.38102094325828273,0.43675573536229173,0.2766440886740822,0.28621908127208484,0.8890026911249871
ə,uː,1000,0.803517291515346,0.340409726811431,0.646437919187444,0.0688167867475011,0.523908661909659,500,0.3868016087709627,0.43025173138731554,0.47520715427166316,0.26236568141593636,0.35200000000000004,0.837053413160198
ə,ʉː,1000,0.85922949638304,0.303960847190545,0.320218840906836,0.0403070946151614,0.725990143346777,500,0.4036681674878314,0.4543466832403704,0.5031254841007547,0.43534244010124656,0.398,0.7811186699781024
ə,ʊ,1000,0.844964031715967,0.0780622980179468,0.175810643737815,0.066054993065293,0.838776795939406,500,0.6705793310680264,0.7543863199651013,0.8028395257951573,0.5716666369631557,0.43600000000000005,0.9162685118036579
əw,ɛ,1000,0.896571451382462,0.338898933760534,0.411912545455373,0.0281632726638951,0.66238220185298,500,0.241839927272202,0.31948586506540033,0.38524494871370013,0.3773530313439548,0.30200000000000005,0.8338537135315655
əw,ɛː,845,0.904927668794777,0.320899164384621,0.404696252865914,0.0269808970150155,0.667179433924805,345,0.30000306051498105,0.3859339579374421,0.45505548455410866,0.36762068865996317,0.2608695652173913,0.9521080289723742
əw,ɚ,1000,0.916246237061053,0.51103926629619,0.850481215479934,0.0262659298016121,0.427209302747064,500,0.15134076306181357,0.19764220679893282,0.2454679941198151,0.2011246156168091,0.26,0.7403444407610297
əw,ɝ,1000,0.926492127748026,0.554974853315769,0.878924533222588,0.0351935346705508,0.415229236883877,500,0.1850437041322598,0.2542670795301436,0.30942325309022917,0.19185784263603833,0.256,0.812353679866322
əw,i,1000,0.955938475614991,0.586697389479429,1.0226699954172,0.0198325462926994,0.359633437510406,500,0.10780493794023684,0.15352982897618456,0.19994203587253834,0.15862757712337885,0.186,0.7241454833737905
əw,iː,1000,0.967048385870744,0.656280303007203,1.25705800932095,0.0040741637355631,0.28448976276316,500,0.04779894704693405,0.07979175814357325,0.11445889057224706,0.11567317665438125,0.136,0.7650106002893541
əw,ɪ,1000,0.941950237661963,0.45497915868983,0.622808359221835,0.0185693464694482,0.536435815740096,500,0.20135439835482785,0.2694209246322065,0.3314967798363999,0.2775918098440693,0.262,0.8084704995984903
əw,o,1000,0.745411381157215,0.225009775193545,0.465283719513336,0.109277091681529,0.627956916282318,500,0.5113489869352396,0.6108470735052205,0.6412206522657096,0.34264802234441083,0.44600000000000006,0.9190145236993732
əw,ow,1000,0.743784793307835,0.125991730334397,0.214964317472103,0.117886380505027,0.806570220128234,500,0.5171356339504695,0.7012624664237621,0.7680779386477142,0.5232744117567537,0.42600000000000005,0.9256589045860034
əw,ɔ,1000,0.807549353676952,0.192815099982485,0.317734904032644,0.0689679009973374,0.727795698548361,500,0.5558956568079184,0.6775194844270342,0.6982604355039321,0.43943284427671553,0.41800000000000004,0.9496699214328406
əw,u,783,0.909273904554334,0.416915519587678,0.879949187575712,0.0306690567287463,0.414803988342351,283,0.1693228676940814,0.19885067819258126,0.24033586010105512,0.1749010613235604,0.1872791519434629,0.7495527785508648
əw,uː,1000,0.884504163575107,0.54743075593841,1.0897802789426,0.0507904773622864,0.336290375666659,500,0.24206992651662698,0.2668040115472907,0.29362863797822275,0.13960156702319806,0.192,0.8388450702626606
əw,ʉː,1000,0.919418473602619,0.524749865654887,0.748416645452136,0.0338101378803725,0.473115068897408,500,0.13495913641716006,0.18505248918109193,0.23922388351787807,0.23340356644915486,0.24000000000000002,0.7207736842922025
əw,ʊ,1000,0.835364751014912,0.307778792572812,0.386256995525283,0.0527502179713873,0.679595850143379,500,0.4581475616495334,0.5161840758412237,0.5558179564841065,0.3963908634122659,0.374,0.8727316147698422
ɛ,ɛː,845,0.807030774098479,0.0470945960512442,0.109637001608983,0.0659122149561348,0.896159380674462,345,0.6258368222487329,0.7515633565929176,0.8033714193592355,0.6300746651991206,0.3449275362318841,0.9525881648450059
ɛ,ɚ,1000,0.883318308316321,0.416891452812373,0.562856164899029,0.040606417601226,0.569579924223849,500,0.2682756034266004,0.33264250398629136,0.38784038996132775,0.296969241025123,0.30000000000000004,0.785265031147471
ɛ,ɝ,1000,0.934046191243458,0.5101845442525,0.674097581216188,0.0256881193629631,0.509616100306006,500,0.21120222661966054,0.3031161714977623,0.3536467477474203,0.2583184833670723,0.28200000000000003,0.7284038587234216
ɛ,i,1000,0.890864477682433,0.47575374853383,0.656425575468168,0.0399185892676719,0.518702086296831,500,0.22121149501057488,0.30298834430066063,0.3579692844048351,0.25526849808938357,0.264,0.6353499281982423
ɛ,iː,1000,0.943742806450571,0.584285377590344,0.917725977843948,0.0206164925452305,0.399426313401252,500,0.11465574487248598,0.16814430109931197,0.21230366926635189,0.18047064533836152,0.198,0.6891370855663622
ɛ,ɪ,1000,0.814362214600305,0.256522325864482,0.269387426681249,0.0749267695023235,0.763847263503994,500,0.5705083801110575,0.6294706804292725,0.6646131218760125,0.47888289867661044,0.448,0.8839480130337909
ɛ,o,1000,0.895440097837102,0.484229513790446,0.842884010217231,0.0495571554248933,0.430467259523267,500,0.2419664556756174,0.29204672346006566,0.3263718957517344,0.19885821694281072,0.19999999999999998,0.8745979522581534
ɛ,ow,1000,0.906142284320521,0.517806622983558,0.792434610432682,0.028377547404651,0.452741203961527,500,0.1417160175024648,0.23486550500915448,0.28821366379174995,0.223236748227747,0.21400000000000002,0.7844055536955308
ɛ,ɔ,1000,0.867836054308032,0.390947492597228,0.543084494011149,0.0371916298909037,0.580953538195027,500,0.2713823149210876,0.33019548526927434,0.36013414484852413,0.3125468188789849,0.28200000000000003,0.8255491518690892
ɛ,u,783,0.903242952555943,0.465366749625774,0.985132648609136,0.0238337769383726,0.373389694027919,283,0.2373987796344536,0.24354257949567581,0.26722319680286566,0.14762074058589136,0.17314487632508835,0.6626517457387056
ɛ,uː,1000,0.879449090840735,0.575509754594031,1.14780668040334,0.0488794735959633,0.317332017181954,500,0.219361685949647,0.26935641901457663,0.30064022804501883,0.1313114727975655,0.192,0.7308519094283922
ɛ,ʉː,1000,0.905784961878589,0.515648312752865,0.666051541094304,0.032194557498596,0.513733032184966,500,0.24133670519425454,0.2918884806539093,0.34147057375142265,0.2537896973259288,0.274,0.6410844588282028
ɛ,ʊ,1000,0.841947362975826,0.318828708702475,0.384396781510807,0.0452663082319448,0.680861220432878,500,0.4817205220253684,0.5697242503940998,0.6044586739516766,0.39339044085316593,0.34400000000000003,0.8724448532167919
ɛː,ɚ,845,0.897594222927934,0.372656669497732,0.547809582486508,0.0391185254221811,0.578214956442756,345,0.308998422077709,0.36937596009539386,0.3878203203608809,0.29102946898203336,0.2434782608695652,0.8046443763870756
ɛː,ɝ,845,0.891827563231921,0.491587172274354,0.682005877944321,0.0437060738473867,0.505601799031734,345,0.27208648873956126,0.3464447605880965,0.37439634095123897,0.2190670226178621,0.19710144927536233,0.7411342618318051
ɛː,i,845,0.896615516614914,0.404817686252762,0.539749141917323,0.0385702207444552,0.582894457820906,345,0.2862673114187184,0.3478174338254534,0.38883284575308164,0.29931468957874485,0.28405797101449276,0.7987786217520422
ɛː,iː,845,0.930988078607203,0.506456039686511,0.731191309605108,0.0201552367120453,0.48133522911286,345,0.1742148794114966,0.22878826493984172,0.27801199928199893,0.23399463756524164,0.19130434782608696,0.7128781298761437
ɛː,ɪ,845,0.881147895075973,0.188467650168037,0.206347784085459,0.053951578508043,0.813550087303153,345,0.5403520296698673,0.6333580927194717,0.6683927124155267,0.5250477527963041,0.32463768115942027,0.9540153551005862
ɛː,o,845,0.912476555765818,0.459761433018305,0.82876024550236,0.0459477642215578,0.436590215625931,345,0.26024894044128194,0.3145189993385951,0.36365475683589943,0.21591870642352823,0.2202898550724638,0.7602727361136531
ɛː,ow,845,0.945972880318751,0.544060523069585,0.88375288814784,0.0162725549536458,0.413229195094255,345,0.1802868924369218,0.27786319423816486,0.33062313312195835,0.17854413003744907,0.19130434782608696,0.5906865898120107
ɛː,ɔ,845,0.890682820621363,0.37571549823077,0.559302862445075,0.0372272184161372,0.571607413975221,345,0.2837703395925506,0.3588397931999284,0.39446971330537234,0.28423143131441864,0.2434782608695652,0.7348930893035781
ɛː,u,628,0.856586535931213,0.401423500631757,0.840252913856418,0.0375810885769402,0.431601351661851,283,0.21899833388341036,0.2454489180895158,0.3262524512298164,0.19662779435607414,0.19081272084805653,0.8134860427417664
ɛː,uː,845,0.881727863586871,0.492515859895059,0.935989074103049,0.0468986151263388,0.392197760982417,345,0.26957079521276944,0.3171472429857055,0.33077055745286493,0.16458250905601207,0.21159420289855074,0.7939499585129546
ɛː,ʉː,845,0.901308952762,0.421706772528858,0.502788665072327,0.0309226514727459,0.604841605045075,345,0.2510029733516193,0.3272092329013244,0.37694728295692037,0.32649393105222635,0.26956521739130435,0.6680873604824104
ɛː,ʊ,845,0.899839402740423,0.239364251130512,0.311795463576321,0.0598057822509977,0.732131260424617,345,0.4370486744503841,0.5559758237430232,0.6190809047139572,0.43702566936997156,0.34782608695652173,0.941658661116987
ɚ,ɝ,1000,0.71857357370881,0.153386762474561,0.208403722913072,0.137818554400084,0.811879196303856,500,0.5119838961065216,0.6622731071819753,0.6982953014620927,0.5348729853501627,0.41800000000000004,0.9325227093705017
ɚ,i,1000,0.913920681790317,0.547539401982559,0.88452856155616,0.0307945768971253,0.41290878847759,500,0.11349532875117403,0.150800181396872,0.18969725834761242,0.19899666795477305,0.21400000000000002,0.6936416026355516
ɚ,iː,1000,0.961109394988174,0.639182177050173,1.24225130796491,0.0090685779869683,0.288733457749941,500,0.03622564655334639,0.057753551489158485,0.0821476528360608,0.12106859932857765,0.14400000000000002,0.6906464476625743
ɚ,ɪ,1000,0.874024348325878,0.40747902386327,0.562005673067005,0.0523911049107683,0.570064553354432,500,0.2501716135348898,0.31103589782926067,0.34782284034851424,0.2978612036218478,0.28800000000000003,0.7711331049440533
ɚ,o,1000,0.902440172251894,0.575361341271901,0.996051449129359,0.0341569842328695,0.369334903451582,500,0.10966510214388109,0.15495379917170954,0.1978408276918762,0.16971167391808997,0.186,0.6933070615444088
ɚ,ow,1000,0.946845028738991,0.620575149053487,1.14978003891921,0.0143820010327265,0.316706424805525,500,0.04972205767357671,0.10044061493698134,0.15338808186402053,0.1342101998097219,0.17200000000000001,0.7102448960674924
ɚ,ɔ,1000,0.919085864736549,0.526897123949857,0.799992312407097,0.0374385828150964,0.449332418388655,500,0.13954390051113147,0.18254414454691265,0.22987991640852748,0.21328285216843323,0.20800000000000002,0.7629282044814831
ɚ,u,783,0.908685361696726,0.482820157054085,0.937004315518123,0.0245057274452964,0.391799787626268,283,0.08348140527782907,0.153798748781262,0.22609667734787842,0.17199509787516423,0.17667844522968199,0.7144177186447207
ɚ,uː,1000,0.896311705923442,0.556453090999671,0.949776258591813,0.03539974600528,0.386827563116584,500,0.15079469393577494,0.18013917729078271,0.22432516793574106,0.17158711073384433,0.20400000000000001,0.7364212767093246
ɚ,ʉː,1000,0.897403661913999,0.512010617733117,0.699868999226875,0.041154297444115,0.496650361111315,500,0.1708404597466022,0.21522931864153472,0.25620220234086316,0.2405403502043005,0.234,0.6797751579895525
ɚ,ʊ,1000,0.852979866367379,0.317755494274594,0.448069837301434,0.0655253181461057,0.638860066210922,500,0.31342340667476665,0.37828656823836415,0.4361797183459238,0.37151724126653696,0.37200000000000005,0.8138361909534749
ɝ,i,1000,0.968923052076275,0.699423231009733,1.43473803808019,0.0117157580298575,0.238177749343515,500,0.05155553697238221,0.09453323213084418,0.1213302919038931,0.09534629934572306,0.124,0.4696867336604487
ɝ,iː,1000,0.988400714932159,0.759391032344343,1.8928468439448,0.0037556426284537,0.150642342573921,500,0.0170820578773402,0.033835533030389484,0.04882300876554932,0.05562361473936205,0.076,0.5720456419650728
ɝ,ɪ,1000,0.927388176954982,0.584718300012762,0.892713483860826,0.0211606357464156,0.409542955456441,500,0.18275016991274073,0.2663711926039073,0.2920910230755905,0.18884472657361107,0.20600000000000002,0.6560616360960734
ɝ,o,1000,0.913213878634996,0.642914894473366,1.27350670145943,0.0207273003413402,0.279848553790805,500,0.12127618999760344,0.1878376963691673,0.21962321426783432,0.11621077742728078,0.15600000000000003,0.6456154924104204
ɝ,ow,1000,0.93751644248805,0.607440615814328,1.04351738444642,0.0141151224049836,0.352213629866132,500,0.06259585425398775,0.15061656219289013,0.21980934834411875,0.16280621600025522,0.17800000000000002,0.6960177035992788
ɝ,ɔ,1000,0.930244605660078,0.592251195744934,0.976036441889001,0.0304915841212121,0.376801618129976,500,0.1487612169931228,0.24083353238915756,0.28314320743298305,0.16854686750195752,0.16,0.8252136384108283
ɝ,u,783,0.966745042187741,0.646446999123859,1.51449482048617,0.0082911270248679,0.219919255492664,283,0.057528779259775495,0.10963774391915204,0.16057793212984015,0.07140666579700987,0.12367491166077738,0.5701619139890312
